Date,Open,High,Low,Adj Close,Volume,rsi_14,sma_50,adx_20,volume,corr_24,prev_open_close,prev_close_high,prev_close_low,momentum_20,y_1d_dir,ret_1d_fwd
2000-07-26,146.96875,147.15625,145.640625,92.34308624267578,12062500,45.432452533252295,92.31386367798359,8.289990130924558,12062500,-0.4798671882069575,0.5843980316240018,-0.5854033603242709,-0.5740096350545552,0.004951278483156463,-1.0,-0.0034274120083449544
2000-07-27,145.9375,146.625,144.6875,92.02658844,7652600,44.120280304753315,92.30160919190077,8.725044874011962,7652600,-0.3887629975256693,0.591551203018806,-0.5935816744664167,-0.577168696931564,-0.00128791459564348,-1.0,-0.0225711772566064
2000-07-28,145.71875,145.90625,141.515625,89.94944,6229500,36.64080425232354,92.26715255733046,9.760927817804921,6229500,-0.3375751916751095,0.5858188646768008,-0.5932895317052569,-0.5722358337159718,-0.014521404660751802,1.0,0.006378281418949028
2000-07-31,142.9375,144.125,142.0625,90.52316284179688,5265500,39.68236509088422,92.26666839595352,10.745016614408232,5265500,-0.35229057410547654,0.6200073063267543,-0.6220918106883156,-0.5732796668884209,-0.015702157174877662,1.0,0.006118388693113097
2000-08-01,143.625,144.71875,143.125,91.07701873779295,3946600,42.54957458864091,92.30568145750938,11.484609733639289,3946600,-0.386262963249795,0.5790157514691044,-0.5921339409216243,-0.5693497171356687,-0.023128033584833396,1.0,0.004996797107504003
2000-08-02,143.875,145.40625,143.625,91.53211212158205,7439800,44.86858492271232,92.3672160339254,11.964566134418687,7439800,-0.3486582457444077,0.5769620261011239,-0.5889710928795266,-0.5714721670024254,-0.00021525215252116148,1.0,0.006915140968836386
2000-08-03,142.875,145.8125,142.625,92.16506958007812,4607100,48.011791813267635,92.46746154784141,12.623791323708861,4607100,-0.3678996610156801,0.5718527264933091,-0.5885818280567695,-0.5691214446053972,-0.0010720878839184378,1.0,0.005366192443354789
2000-08-04,146.3125,146.71875,145.40625,92.65964508,3686600,50.39175610893585,92.54917892453906,12.956954288202393,3686600,-0.38051981218276315,0.5502076942052572,-0.5820798558971413,-0.5474951698059479,-0.011605758754562823,1.0,0.011955453628638146
2000-08-07,146.71875,148.4375,146.375,93.76743317,4159800,55.32506488881131,92.68344558713906,12.763422877791257,4159800,-0.31479541428788493,0.5790315176976717,-0.5834158427147732,-0.5692511003518296,0.0019024292316427438,1.0,0.003797389526770001
2000-08-08,147.5,148.8125,147.5,94.12350463867188,3658700,56.811737516839635,92.82285980222696,12.474510723299574,3658700,-0.24041956711379045,0.5647090363879265,-0.5830389612018425,-0.5610430514251432,0.0035856534165554788,-1.0,-0.00840693603835485
2000-08-09,149.140625,149.21875,147.375,93.33221435546876,5383800,52.62096967971655,92.88960830686563,12.085074787319432,5383800,-0.35033884644946583,0.5670899693571089,-0.5810344139996932,-0.5670899693571089,-0.011315779286174665,-1.0,-0.004874996362304818
2000-08-10,147.53125,147.859375,146.28125,92.87722015,4193400,50.322329550621134,92.94331024160392,11.988724908333237,4193400,-0.27605333258912235,0.5979544258103329,-0.5987914894173577,-0.5790367882915726,-0.020446965673141637,1.0,0.0046856300884412505
2000-08-11,146.625,148.0,145.5625,93.31240844726562,5089400,52.46135033519289,92.97413848874923,12.068778692500285,5089400,-0.2725505505934855,0.5884546260292007,-0.5919875160044828,-0.5749959975519358,-0.025413533990359727,1.0,0.012720262315436548
2000-08-14,147.78125,149.5625,147.0625,94.49936676,2966700,57.79866615642133,92.99673431393946,11.688300580541643,2966700,-0.34791392663259935,0.5713344285059724,-0.5860698749796004,-0.5599479471399871,-0.011382625255678569,-1.0,-0.000837301382459299
2000-08-15,149.34375,149.8125,148.5625,94.42024230957033,5564600,57.336532700314585,93.02682617193086,11.257082222026837,5564600,-0.3398633861764067,0.5638332304947606,-0.5826825631524475,-0.5562273594223607,-0.004068913858642276,-1.0,-0.0035616947522797426
